lep_n,jet_n,photon_n,tau_n,met,met_mpx,met_mpy,truth_jet_n,truth_elec_n,truth_muon_n,truth_tau_n,truth_photon_n,eventNumber,runNumber,m_ee,m_4l,lep_pt_0,lep_pt_1,lep_pt_2,lep_pt_3,lep_eta_0,lep_eta_1,lep_eta_2,lep_eta_3,lep_phi_0,lep_phi_1,lep_phi_2,lep_phi_3,lep_e_0,lep_e_1,lep_e_2,lep_e_3,lep_type_0,lep_type_1,lep_type_2,lep_type_3,source_file
4,0,0,1,148.45157,133.29797,65.34156,8,2,3,0,2,4298,284500,252.50856059997287,1254.0557059828188,548.8905639648438,8.637189865112305,266.2147521972656,294.1900939941406,-0.2686593532562256,2.186697244644165,-1.6245694160461426,-1.880342960357666,1.2802962064743042,-1.3186683654785156,2.788102865219116,1.3292628526687622,568.81884765625,38.94525146484375,701.9057006835938,986.75634765625,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,4,0,0,209.68245,-208.53229,21.932196,4,2,2,1,3,4076,284500,263.27978566477344,1319.8832372283011,236.77023315429688,107.36422729492188,461.6739501953125,482.38116455078125,-1.2581615447998047,-0.4624199867248535,-1.0425734519958496,-1.3769195079803467,-1.500108242034912,-3.100628137588501,-0.14449915289878845,2.0831127166748047,450.2330627441406,119.04920196533203,736.1514282226562,1016.6256713867188,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,3,0,1,477.07623,366.97128,-304.85046,4,1,3,0,1,4934,284500,,1294.0359324738738,195.1394500732422,352.33251953125,266.2137145996094,223.23988342285156,0.6309031844139099,1.231227993965149,1.4218158721923828,-0.5045904517173767,-0.8608620762825012,1.446657657623291,-2.7931432723999023,2.470674991607666,235.2814178466797,654.8746948242188,583.79541015625,252.2677764892578,11.0,13.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,3,0,0,253.24777,238.1822,-86.04456,4,2,2,1,7,4974,284500,233.30937541712157,885.1176728263487,242.9069061279297,30.02423858642578,393.6983337402344,284.02947998046875,0.1724313348531723,2.224522113800049,0.9206940531730652,0.2400026172399521,-1.8615292310714722,-0.5171394348144531,2.702263832092285,2.1957881450653076,246.52699279785156,140.4711151123047,572.6884155273438,292.2490539550781,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,6,0,1,145.9997,75.19719,-125.14508,7,0,3,0,2,4220,284500,,1480.1974571419007,94.25150299072266,200.30967712402344,341.68511962890625,374.3927001953125,0.7230411767959595,-1.6352965831756592,-0.7164565324783325,0.646612823009491,-1.4549057483673096,-3.119288921356201,2.2700905799865723,-0.37273821234703064,119.98049926757812,533.4120483398438,433.19635009765625,455.4263610839844,11.0,13.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,2,0,0,893.1128,869.38416,-204.5036,6,1,3,0,2,4037,284500,,889.9239313906698,10.089324951171875,87.13662719726562,616.2113647460938,218.22052001953125,-0.4847497045993805,0.19761672616004944,-0.38681185245513916,-1.0052461624145508,2.1427295207977295,-0.24125903844833374,2.1080329418182373,-1.836361050605774,11.298126220703125,88.84368133544922,662.8888549804688,338.0819091796875,11.0,13.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,5,0,2,146.27786,129.2725,-68.453125,8,1,3,0,2,7713,284500,,1708.5199528007695,129.92127990722656,469.409423828125,344.9694519042969,142.5132293701172,0.5350661873817444,0.6411502361297607,-1.3903132677078247,1.2419883012771606,1.4670805931091309,2.953249931335449,-1.1454509496688843,-0.186797097325325,148.9672088623047,569.2410278320312,735.6654663085938,267.30499267578125,11.0,13.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,2,1,2,179.88399,179.74077,7.1765203,4,2,3,0,1,7955,284500,68.8600810329383,926.6953280287325,158.63531494140625,16.574758529663086,441.6680908203125,195.21548461914062,0.975761890411377,-0.19518296420574188,-0.42851722240448,-0.38379859924316406,-0.26803186535835266,-0.7919524312019348,-2.480084180831909,1.2487354278564453,240.33987426757812,16.891481399536133,482.8435363769531,209.77061462402344,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
5,3,0,0,204.57657,134.28903,154.3309,5,2,4,0,0,7759,284500,100.60861891591483,628.396138553956,109.91639709472656,24.101757049560547,8.490819931030273,754.56298828125,-1.921329379081726,-2.342789888381958,-1.6427932977676392,-1.0985914468765259,1.61781644821167,-2.1326663494110107,2.27514386177063,-2.371239423751831,383.4128112792969,126.61013793945312,22.76825523376465,1257.583984375,11.0,11.0,11.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,1,0,0,186.1131,-178.69356,52.025883,2,0,5,1,1,7385,284500,,1051.2449216613804,34.99883270263672,706.2304077148438,122.79635620117188,359.3181457519531,-0.5105291604995728,-0.1419437825679779,0.795276939868927,-0.22912320494651794,3.1352808475494385,0.37662190198898315,3.077524185180664,-0.8589820265769958,39.65980911254883,713.3569946289062,163.71893310546875,368.7911376953125,11.0,13.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
