n,identical_prime_pair,propE_base,propO_base,propI_base,propE_altA,propO_altA,propI_altA,propE_altB,propO_altB,propI_altB,propE_altC,propO_altC,propI_altC,collatz_steps,collatz_max,divergence_ratio,time_to_peak_ratio,log_n,mod3,mod4,mod6,mod12,mod30,center_distance_base,center_distance_altA,center_distance_altB,center_distance_altC,mag_bin,near_center
6122,1,0.04081632653061224,0.02040816326530612,0.9387755102040817,0.04081632653061224,0.0,0.9591836734693877,0.04081632653061224,0.2857142857142857,0.673469387755102,0.061224489795918366,0.0,0.9387755102040817,49,9184,1.5001633453119896,0.04081632653061224,8.719644119505357,2,2,2,2,2,0.5403270794340029,0.5639377825380452,0.3234420254956463,0.538087067887783,5001-10000,0
6124,0,0.24193548387096775,0.016129032258064516,0.7419354838709677,0.24193548387096775,0.0,0.7580645161290323,0.08064516129032258,0.3387096774193548,0.5806451612903226,0.20967741935483872,0.0,0.7903225806451613,62,8728,1.425212279555846,0.24193548387096775,8.719970756777574,1,0,4,4,4,0.30937485218991834,0.3316154135715199,0.27177299703000707,0.36393044583665685,5001-10000,1
6126,0,0.0967741935483871,0.03225806451612903,0.8709677419354839,0.0967741935483871,0.14516129032258066,0.7580645161290323,0.03225806451612903,0.2903225806451613,0.6774193548387096,0.08064516129032258,0.04838709677419355,0.8709677419354839,62,20680,3.375775383610839,0.0967741935483871,8.72029728739272,0,2,0,6,6,0.45503313163383535,0.3330244840426966,0.3336488274555074,0.4568589314510751,5001-10000,0
6128,0,0.3469387755102041,0.04081632653061224,0.6122448979591837,0.3469387755102041,0.02040816326530612,0.6326530612244898,0.04081632653061224,0.2653061224489796,0.6938775510204082,0.32653061224489793,0.0,0.673469387755102,49,13120,2.1409921671018277,0.3469387755102041,8.720623711420426,2,0,2,8,8,0.20035370638816136,0.22815194743934694,0.3301962613538777,0.2660742412828026,5001-10000,1
6130,0,0.14838709677419354,0.01935483870967742,0.832258064516129,0.14838709677419354,0.632258064516129,0.21935483870967742,0.012903225806451613,0.14838709677419354,0.8387096774193549,0.14193548387096774,0.025806451612903226,0.832258064516129,155,44224,7.214355628058728,0.14838709677419354,8.720950028930258,1,2,4,10,10,0.40744885342600806,0.5372105856360789,0.4470041332127268,0.4070911507203234,5001-10000,0
6132,0,0.3469387755102041,0.04081632653061224,0.6122448979591837,0.3469387755102041,0.02040816326530612,0.6326530612244898,0.04081632653061224,0.30612244897959184,0.6530612244897959,0.32653061224489793,0.0,0.673469387755102,49,13120,2.1395955642530984,0.3469387755102041,8.721276239991704,0,0,0,0,12,0.20035370638816136,0.22815194743934694,0.31916436081246286,0.2660742412828026,5001-10000,1
6134,1,0.22580645161290322,0.03225806451612903,0.7419354838709677,0.22580645161290322,0.0967741935483871,0.6774193548387096,0.08064516129032258,0.3225806451612903,0.5967741935483871,0.1935483870967742,0.016129032258064516,0.7903225806451613,62,17476,2.8490381480273883,0.22580645161290322,8.721602344674197,2,2,2,2,14,0.30360305976393404,0.21826102998757768,0.2692727323188285,0.3597605863633762,5001-10000,1
6136,0,0.2903225806451613,0.12903225806451613,0.5806451612903226,0.2903225806451613,0.11290322580645161,0.5967741935483871,0.04838709677419355,0.24193548387096775,0.7096774193548387,0.3064516129032258,0.11290322580645161,0.5806451612903226,62,39364,6.415254237288136,0.2903225806451613,8.721928343047091,1,0,4,4,16,0.10785969998258382,0.1305555248054714,0.3302003302004953,0.11887435982379539,5001-10000,1
6138,0,0.2903225806451613,0.12903225806451613,0.5806451612903226,0.2903225806451613,0.11290322580645161,0.5967741935483871,0.04838709677419355,0.27419354838709675,0.6774193548387096,0.3064516129032258,0.11290322580645161,0.5806451612903226,62,39364,6.413163897034865,0.2903225806451613,8.722254235179681,0,2,0,6,18,0.10785969998258382,0.1305555248054714,0.3166881165490291,0.11887435982379539,5001-10000,1
6140,0,0.3064516129032258,0.11290322580645161,0.5806451612903226,0.3064516129032258,0.0967741935483871,0.5967741935483871,0.03225806451612903,0.1774193548387097,0.7903225806451613,0.2903225806451613,0.12903225806451613,0.5806451612903226,62,118096,19.23387622149837,0.3064516129032258,8.722580021141189,2,0,2,8,20,0.11887435982379539,0.14164192516193647,0.3955791076194692,0.10785969998258382,5001-10000,1
