n,collatz_steps,collatz_max,divergence_ratio,oscillation_count,time_to_peak_ratio,frac_up,mean_run_up,std_run_up,mean_run_down,std_run_down,prop_exploration,prop_optimization,prop_integration,identical_prime_pair,center_distance,symmetry_score,gravitational_pull
52,11,52,1.0,4,0.0,0.18181818181818182,1.0,0.0,3.0,0.816496580927726,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
54,112,9232,170.96296296296296,82,0.6964285714285714,0.36607142857142855,1.0,0.0,1.6904761904761905,1.034824467242892,0.6964285714285714,0.16071428571428573,0.14285714285714285,0,0.5350233639758174,0.4464285714285714,0.45954478748494443
56,19,56,1.0,10,0.0,0.2631578947368421,1.0,0.0,2.3333333333333335,1.1055415967851334,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
58,19,88,1.5172413793103448,10,0.10526315789473684,0.2631578947368421,1.0,0.0,2.3333333333333335,1.1055415967851334,0.10526315789473684,0.05263157894736842,0.8421052631578947,1,0.4203283243810822,0.21052631578947367,0.5754042735790827
60,19,160,2.6666666666666665,10,0.47368421052631576,0.2631578947368421,1.0,0.0,2.3333333333333335,1.5986105077709065,0.47368421052631576,0.10526315789473684,0.42105263157894735,0,0.21301164573524278,0.631578947368421,0.7848257440412905
62,107,9232,148.90322580645162,78,0.6822429906542056,0.3644859813084112,1.0,0.0,1.7,1.0535653752852738,0.6822429906542056,0.14018691588785046,0.17757009345794392,1,0.5036351393300483,0.4579439252336449,0.4912516824798445
64,6,64,1.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
66,27,100,1.5151515151515151,16,0.07407407407407407,0.2962962962962963,1.0,0.0,2.111111111111111,0.9938079899999066,0.07407407407407407,0.037037037037037035,0.8888888888888888,0,0.47836598876215014,0.14814814814814814,0.5167773792246798
68,14,68,1.0,6,0.0,0.21428571428571427,1.0,0.0,2.75,0.82915619758885,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
70,14,160,2.2857142857142856,6,0.2857142857142857,0.21428571428571427,1.0,0.0,2.75,1.7853571071357126,0.2857142857142857,0.14285714285714285,0.5714285714285714,0,0.09258200997725514,0.5714285714285714,0.9064780470417175
72,22,72,1.0,12,0.0,0.2727272727272727,1.0,0.0,2.2857142857142856,1.0301575072754257,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
74,22,112,1.5135135135135136,12,0.09090909090909091,0.2727272727272727,1.0,0.0,2.2857142857142856,1.2777531299998799,0.09090909090909091,0.045454545454545456,0.8636363636363636,1,0.4470287582961544,0.18181818181818177,0.5484327623191245
76,22,88,1.1578947368421053,12,0.22727272727272727,0.2727272727272727,1.0,0.0,2.2857142857142856,1.0301575072754257,0.22727272727272727,0.045454545454545456,0.7272727272727273,0,0.2842999231111253,0.3181818181818181,0.7128137092532989
78,35,304,3.8974358974358974,22,0.3142857142857143,0.3142857142857143,1.0,0.0,2.0,1.1547005383792515,0.3142857142857143,0.05714285714285714,0.6285714285714286,0,0.19272482233188631,0.4285714285714286,0.8053185303230723
80,9,80,1.0,2,0.0,0.1111111111111111,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
82,110,9232,112.58536585365853,80,0.6909090909090909,0.36363636363636365,1.0,0.0,1.7073170731707317,1.041666170929884,0.6909090909090909,0.13636363636363635,0.17272727272727273,1,0.5137771327616288,0.44545454545454544,0.4810067220081017
84,9,84,1.0,2,0.0,0.1111111111111111,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
86,30,196,2.2790697674418605,18,0.13333333333333333,0.3,1.0,0.0,2.1,1.1357816691600546,0.13333333333333333,0.06666666666666667,0.8,1,0.36817870057290875,0.2666666666666666,0.6280833487663497
88,17,88,1.0,8,0.0,0.23529411764705882,1.0,0.0,2.6,1.019803902718557,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
90,17,136,1.511111111111111,8,0.11764705882352941,0.23529411764705882,1.0,0.0,2.6,1.019803902718557,0.11764705882352941,0.058823529411764705,0.8235294117647058,0,0.3973092891945478,0.23529411764705888,0.5986570105458975
92,17,160,1.7391304347826086,8,0.4117647058823529,0.23529411764705882,1.0,0.0,2.6,1.624807680927192,0.4117647058823529,0.058823529411764705,0.5294117647058824,0,0.182447793167892,0.5294117647058824,0.8156998974835185
94,105,9232,98.2127659574468,76,0.6761904761904762,0.3619047619047619,1.0,0.0,1.7179487179487178,1.0609313264398565,0.6761904761904762,0.14285714285714285,0.18095238095238095,1,0.4965641587134747,0.46666666666666656,0.49839445154215567
96,12,96,1.0,4,0.0,0.16666666666666666,1.0,0.0,3.3333333333333335,1.699673171197595,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
98,25,148,1.510204081632653,14,0.08,0.28,1.0,0.0,2.25,1.1989578808281798,0.08,0.04,0.88,0,0.4673328578219169,0.16000000000000003,0.5279225245183341
100,25,100,1.0,14,0.0,0.28,1.0,0.0,2.25,0.9682458365518543,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
102,25,232,2.2745098039215685,14,0.16,0.28,1.0,0.0,2.25,1.0897247358851685,0.16,0.08,0.76,0,0.31874754901018454,0.31999999999999995,0.6780163522975816
104,12,104,1.0,4,0.0,0.16666666666666666,1.0,0.0,3.3333333333333335,0.4714045207910317,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
106,12,160,1.509433962264151,4,0.16666666666666666,0.16666666666666666,1.0,0.0,3.3333333333333335,1.699673171197595,0.16666666666666666,0.08333333333333333,0.75,1,0.3064129385141706,0.33333333333333337,0.6904761904761905
108,113,9232,85.48148148148148,82,0.6991150442477876,0.36283185840707965,1.0,0.0,1.7142857142857142,1.0301575072754254,0.6991150442477876,0.13274336283185842,0.168141592920354,0,0.5233987735345972,0.4336283185840708,0.4712873970985204
110,113,9232,83.92727272727272,82,0.6991150442477876,0.36283185840707965,1.0,0.0,1.7142857142857142,1.0530163994045703,0.6991150442477876,0.13274336283185842,0.168141592920354,0,0.5233987735345972,0.4336283185840708,0.4712873970985204
112,20,112,1.0,10,0.0,0.25,1.0,0.0,2.5,1.2583057392117916,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
114,33,196,1.719298245614035,20,0.21212121212121213,0.30303030303030304,1.0,0.0,2.090909090909091,1.083306844346635,0.21212121212121213,0.030303030303030304,0.7575757575757576,0,0.3207257610079126,0.2727272727272727,0.6760180564144129
116,20,116,1.0,10,0.0,0.25,1.0,0.0,2.5,0.9574271077563381,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
118,33,304,2.5762711864406778,20,0.2727272727272727,0.30303030303030304,1.0,0.0,2.090909090909091,1.1642044068059725,0.2727272727272727,0.06060606060606061,0.6666666666666666,1,0.2189800213956323,0.39393939393939403,0.7787967741811045
120,20,160,1.3333333333333333,10,0.5,0.25,1.0,0.0,2.5,1.6072751268321592,0.5,0.05,0.45,0,0.25495097567963926,0.55,0.7424606231811437
122,20,184,1.5081967213114753,10,0.1,0.25,1.0,0.0,2.5,1.6072751268321592,0.1,0.05,0.85,1,0.4301162633521313,0.20000000000000007,0.5655169621215558
124,108,9232,74.45161290322581,78,0.6851851851851852,0.3611111111111111,1.0,0.0,1.725,1.0485108487755384,0.6851851851851852,0.12962962962962962,0.18518518518518517,0,0.5024221168888713,0.4444444444444444,0.4924770201853984
126,108,9232,73.26984126984127,78,0.6851851851851852,0.3611111111111111,1.0,0.0,1.725,1.1177544453054078,0.6851851851851852,0.12962962962962962,0.18518518518518517,0,0.5024221168888713,0.4444444444444444,0.4924770201853984
128,7,128,1.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
130,28,196,1.5076923076923077,16,0.07142857142857142,0.2857142857142857,1.0,0.0,2.2222222222222223,1.1331154474650633,0.07142857142857142,0.03571428571428571,0.8928571428571429,0,0.48329228068677926,0.1428571428571428,0.5118010729018088
132,28,132,1.0,16,0.0,0.2857142857142857,1.0,0.0,2.2222222222222223,0.9162456945817024,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
134,28,304,2.2686567164179103,16,0.14285714285714285,0.2857142857142857,1.0,0.0,2.2222222222222223,1.227262335243029,0.14285714285714285,0.07142857142857142,0.7857142857142857,1,0.35050983275386566,0.2857142857142857,0.6459316005531128
136,15,136,1.0,6,0.0,0.2,1.0,0.0,3.0,0.7071067811865476,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
138,15,208,1.5072463768115942,6,0.13333333333333333,0.2,1.0,0.0,3.0,1.224744871391589,0.13333333333333333,0.06666666666666667,0.8,0,0.36817870057290875,0.2666666666666666,0.6280833487663497
140,15,160,1.1428571428571428,6,0.3333333333333333,0.2,1.0,0.0,3.0,1.5811388300841898,0.3333333333333333,0.06666666666666667,0.6,0,0.16996731711975951,0.4666666666666667,0.8283070821207624
142,103,9232,65.01408450704226,74,0.6699029126213593,0.3592233009708738,1.0,0.0,1.736842105263158,1.0683043752728651,0.6699029126213593,0.13592233009708737,0.1941747572815534,1,0.48421399363272055,0.46601941747572817,0.5108700022241194
144,23,144,1.0,12,0.0,0.2608695652173913,1.0,0.0,2.4285714285714284,1.178030178747903,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
146,116,9232,63.23287671232877,84,0.7068965517241379,0.3620689655172414,1.0,0.0,1.7209302325581395,1.0415904965841252,0.7068965517241379,0.1206896551724138,0.1724137931034483,1,0.5283631871644116,0.4137931034482759,0.4662725820381537
148,23,148,1.0,12,0.0,0.2608695652173913,1.0,0.0,2.4285714285714284,1.178030178747903,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
150,15,340,2.2666666666666666,6,0.26666666666666666,0.2,1.0,0.0,3.0,2.9154759474226504,0.26666666666666666,0.13333333333333333,0.6,0,0.1247219128924647,0.5333333333333333,0.8740118423302576
152,23,152,1.0,12,0.0,0.2608695652173913,1.0,0.0,2.4285714285714284,1.049781318335648,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
154,23,232,1.5064935064935066,12,0.08695652173913043,0.2608695652173913,1.0,0.0,2.4285714285714284,1.049781318335648,0.08695652173913043,0.043478260869565216,0.8695652173913043,0,0.45438422987091825,0.17391304347826086,0.5410026139914953
156,36,304,1.9487179487179487,22,0.3333333333333333,0.3055555555555556,1.0,0.0,2.0833333333333335,1.114924013354971,0.3333333333333333,0.027777777777777776,0.6388888888888888,0,0.22374478406224738,0.38888888888888895,0.7739836370492359
158,36,808,5.113924050632911,22,0.2222222222222222,0.3055555555555556,1.0,0.0,2.0833333333333335,1.1873172373979173,0.2222222222222222,0.08333333333333333,0.6944444444444444,1,0.23972721122657129,0.38888888888888895,0.7578389475810737
