regime_def,stratum,ident_mean,ctrl_mean,mean_diff,boot_lo,boot_hi,MWU_p,n_ident,n_ctrl
altB,mag_2501-5000_mod6_4,0.34172049910205693,0.34206172987512273,-0.00034123077306580374,-0.011796372036299784,0.011239205747858649,0.46485294884984085,84,332
altB,mag_2501-5000_mod12_2,0.345863843943267,0.33654852440678273,0.00931531953648429,-0.0033023950888284178,0.021852226914211653,0.12460479215745193,79,129
altB,mag_2501-5000_mod12_10,0.34172049910205693,0.3358407332734809,0.005879765828576022,-0.0068380199965898955,0.019159224867813435,0.4812133537275496,84,124
altB,mag_5001-10000,0.3517540177077075,0.3529485666688004,-0.001194548961092945,-0.007206090214209487,0.004986605163265026,0.9443522799563342,302,2198
altB,mag_5001-10000_mod6_2,0.3496296540533391,0.3544722449612533,-0.004842590907914168,-0.013433693340875373,0.0034903931051026038,0.684869606832593,152,681
altB,mag_5001-10000_mod6_4,0.3539067062108007,0.3521425583669647,0.0017641478438360503,-0.007290005057901616,0.0115114236141328,0.5895441624369022,150,684
altB,mag_5001-10000_mod12_2,0.3496296540533391,0.3623748496614091,-0.01274519560806997,-0.022557229231728974,-0.0026974910204589763,0.03452034986386995,152,265
altB,mag_5001-10000_mod12_10,0.3539067062108007,0.35518687366519136,-0.001280167454390635,-0.011921556886760167,0.009002561640347254,0.7753992430586628,150,267
altB,mag_5001-10000_mod30_2,0.33941382899399225,0.35109386074933824,-0.011680031755345988,-0.02770890479963509,0.0059383446309539,0.24686381859816175,37,130
altB,mag_5001-10000_mod30_4,0.3488880838789096,0.35115327242665056,-0.0022651885477409373,-0.02063980560863281,0.018002561508245085,0.7927840073820132,36,131
altB,mag_5001-10000_mod30_8,0.3523111365803395,0.3580705130203563,-0.0057593764400167835,-0.023833308033845948,0.013246283859712852,0.7407934734985236,36,131
altB,mag_5001-10000_mod30_14,0.34554885509816746,0.35277548354832444,-0.00722662845015698,-0.024107188728044834,0.009365631887794223,0.8549335803807907,39,127
altB,mag_5001-10000_mod30_16,0.3616137544667587,0.3513502623290436,0.010263492137715102,-0.010103911543525074,0.031103629857041508,0.16898207003393995,37,129
altB,mag_5001-10000_mod30_22,0.3568163865865868,0.35155410565365225,0.005262280932934571,-0.01287981733838376,0.024369094542875912,0.47470715269616925,37,130
altB,mag_5001-10000_mod30_26,0.360644736940227,0.35131778654947143,0.00932695039075554,-0.007306528845004517,0.02648331300444861,0.269459194473593,40,127
altB,mag_5001-10000_mod30_28,0.34860299232513936,0.3532176409656014,-0.004614648640462016,-0.02305043452335055,0.014690639334877938,0.2818446071696237,40,127
altB,mag_10001-20000,0.37494883179867633,0.37468664224391024,0.0002621895547660902,-0.005117370928021288,0.00557009233517479,0.9750315809578604,560,4440
altB,mag_10001-20000_mod6_2,0.37303310079234353,0.3743946827945937,-0.0013615820022501723,-0.00853168193428209,0.0059758442349904135,0.7316179494266826,281,1386
altB,mag_10001-20000_mod6_4,0.37687829564376424,0.37546969103303923,0.001408604610725006,-0.00631768966952959,0.009599122958568112,0.8766005222940054,279,1387
altB,mag_10001-20000_mod12_2,0.37303310079234353,0.3764068825167662,-0.003373781724422653,-0.011268309271075498,0.004825552329345853,0.5108184766895201,281,552
altB,mag_10001-20000_mod12_10,0.37687829564376424,0.3780278254464513,-0.001149529802687066,-0.009452721027866444,0.007548988673320703,0.6249973920754895,279,554
altB,mag_10001-20000_mod30_2,0.3767909687607014,0.37430774098310604,0.0024832277775953537,-0.010754479446703871,0.01542054836983856,0.6132912951026679,72,261
altB,mag_10001-20000_mod30_4,0.3788545655977637,0.3716469604563467,0.007207605141416995,-0.008039497379074412,0.022399237213435057,0.36019750951111296,68,265
