,R1p,R2p,R3p,cluster,nearest_target_idx
33,0.48155375718438964,0.29027798895342355,0.22816825386218686,0,2
34,0.2043213709686321,0.4666033017726875,0.32907532725868055,2,2
35,0.25689858335217663,0.4898709253545821,0.2532304912932413,2,2
36,0.6184072059572638,0.11056829361153102,0.27102450043120524,1,1
37,0.48772749401193227,0.1208232440575479,0.39144926193051977,0,2
38,0.45481452462550254,0.36066093706708874,0.1845245383074087,0,2
39,0.31304034639171674,0.46279618710076964,0.22416346650751368,2,2
40,0.46728774404618206,0.3249496682464086,0.2077625877074092,0,2
41,0.6506041266224951,0.219889096640794,0.129506776736711,1,1
42,0.34170395010035043,0.3432900148705028,0.3150060350291468,0,2
43,0.30557104563959836,0.40060823739171336,0.29382071696868833,2,2
44,0.39824504431934077,0.3639441266428188,0.2378108290378404,0,2
45,0.3022740984624417,0.4687100123330882,0.22901588920447022,2,2
46,0.338980946351181,0.41910532169707054,0.2419137319517484,2,2
47,0.44471080055501305,0.1824740086479959,0.372815190796991,0,2
48,0.528888723349817,0.24964193226338546,0.22146934438679755,0,2
49,0.4482613702584497,0.33213916492904505,0.21959946481250525,0,2
50,0.4229820557734923,0.31527401830131047,0.26174392592519735,0,2
51,0.48093965667838584,0.3279228165190372,0.1911375268025768,0,2
52,0.3941483088125579,0.40854200943618535,0.19730968175125674,0,2
53,0.4842060150507694,0.29205669385642524,0.22373729109280527,0,2
54,0.6650923967878896,0.1717248725814093,0.16318273063070116,1,1
55,0.4337858303376702,0.1661626257421808,0.40005154392014897,0,2
56,0.32848357900688463,0.43825520071227403,0.2332612202808413,2,2
57,0.4346818755897362,0.19869989342552902,0.3666182309847348,0,2
58,0.3663837885271119,0.43908276975248023,0.19453344172040787,2,2
59,0.2448876869859866,0.5058893212529737,0.24922299176103982,2,2
60,0.25710771465722726,0.4370456870126112,0.3058465983301616,2,2
61,0.30411621672522554,0.44709856061397074,0.24878522266080375,2,2
62,0.4827761681321809,0.36462594418207617,0.15259788768574298,0,2
63,0.5129088029656891,0.3003111250438393,0.18678007199047175,0,2
64,0.416201026417932,0.3622770132691981,0.2215219603128699,0,2
65,0.3848509533447351,0.40522123347294353,0.20992781318232143,0,2
66,0.28920481400757747,0.469645098378775,0.2411500876136475,2,2
67,0.3446949287773689,0.4196097036034011,0.23569536761922993,2,2
68,0.5076633843726222,0.3403013964352243,0.1520352191921537,0,2
69,0.30834010209673574,0.4554800147452862,0.23617988315797805,2,2
70,0.5621499517050805,0.27540119719252953,0.16244885110238994,0,2
71,0.8063068388265607,0.11106794787947262,0.08262521329396669,1,1
