split,model_id,n,steps,pred,residual
train,12,136,15.0,33.92870707976659,-18.92870707976659
train,12,138,15.0,48.63313617636406,-33.63313617636406
train,12,140,15.0,41.09643457594583,-26.09643457594583
train,12,142,103.0,50.08149412501697,52.91850587498303
train,12,144,23.0,28.02863767894859,-5.028637678948591
train,12,146,116.0,49.4402447393722,66.55975526062781
train,12,148,23.0,41.35179337319211,-18.35179337319211
train,12,150,15.0,49.544023204200684,-34.544023204200684
train,12,152,23.0,35.78085081622386,-12.780850816223861
train,12,154,23.0,50.96773519587206,-27.96773519587206
train,12,156,36.0,41.95652188015053,-5.956521880150532
train,12,158,36.0,50.30313908903816,-14.303139089038162
train,12,160,10.0,22.787174206261042,-12.787174206261042
train,12,162,23.0,50.38476992175254,-27.384769921752543
train,12,164,111.0,42.91398360037212,68.08601639962788
train,12,166,111.0,51.78744326311108,59.21255673688892
train,12,168,10.0,36.356054538994506,-26.356054538994506
train,12,170,10.0,51.10283619211329,-41.10283619211329
train,12,172,31.0,43.07811341653812,-12.078113416538123
train,12,174,31.0,51.165410210926616,-20.165410210926616
train,12,176,18.0,31.09974500101246,-13.099745001012462
train,12,178,31.0,52.54991420789137,-21.54991420789137
train,12,180,18.0,43.60034829195471,-25.60034829195471
train,12,182,93.0,51.847964655465695,41.152035344534305
train,12,184,18.0,37.40106453291784,-19.401064532917843
train,12,186,18.0,51.89396784698566,-33.89396784698566
train,12,188,106.0,44.4828525597507,61.5171474402493
train,12,190,106.0,53.262622271640254,52.737377728359746
train,12,192,13.0,18.429776745211996,-5.429776745211996
train,12,194,119.0,52.5454982996452,66.4545017003548
train,12,196,26.0,44.57857211621571,-18.57857211621571
train,12,198,26.0,52.57695997048427,-26.576959970484268
train,12,200,26.0,38.933358683120595,-12.933358683120595
train,12,202,26.0,53.93166697441441,-27.931666974414412
train,12,204,26.0,45.03812094889897,-19.03812094889897
train,12,206,88.0,53.2011539914918,34.7988460085082
train,12,208,13.0,32.252761663589226,-19.252761663589226
train,12,210,39.0,53.219752174476014,-14.219752174476014
train,12,212,13.0,45.86297295603524,-32.86297295603524
train,12,214,101.0,54.562090860302085,46.437909139697915
train,12,216,114.0,39.242950830905656,74.75704916909434
train,12,218,114.0,53.81967666970382,60.18032333029618
train,12,220,114.0,45.905490462214,68.094509537786
train,12,222,70.0,53.82681477736641,16.17318522263359
