start_value,sequence_length,max_value,sequence
5719,81,38608,"[5719, 17158, 8579, 25738, 12869, 38608, 19304, 9652, 4826, 2413, 7240, 3620, 1810, 905, 2716, 1358, 679, 2038, 1019, 3058, 1529, 4588, 2294, 1147, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5720,29,5720,"[5720, 2860, 1430, 715, 2146, 1073, 3220, 1610, 805, 2416, 1208, 604, 302, 151, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
5721,81,19312,"[5721, 17164, 8582, 4291, 12874, 6437, 19312, 9656, 4828, 2414, 1207, 3622, 1811, 5434, 2717, 8152, 4076, 2038, 1019, 3058, 1529, 4588, 2294, 1147, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5722,29,8584,"[5722, 2861, 8584, 4292, 2146, 1073, 3220, 1610, 805, 2416, 1208, 604, 302, 151, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
5723,174,48904,"[5723, 17170, 8585, 25756, 12878, 6439, 19318, 9659, 28978, 14489, 43468, 21734, 10867, 32602, 16301, 48904, 24452, 12226, 6113, 18340, 9170, 4585, 13756, 6878, 3439, 10318, 5159, 15478, 7739, 23218, 11609, 34828, 17414, 8707, 26122, 13061, 39184, 19592, 9796, 4898, 2449, 7348, 3674, 1837, 5512, 2756, 1378, 689, 2068, 1034, 517, 1552, 776, 388, 194, 97, 292, 146, 73, 220, 110, 55, 166, 83, 250, 125, 376, 188, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593]"
5724,29,9664,"[5724, 2862, 1431, 4294, 2147, 6442, 3221, 9664, 4832, 2416, 1208, 604, 302, 151, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
5725,29,17176,"[5725, 17176, 8588, 4294, 2147, 6442, 3221, 9664, 4832, 2416, 1208, 604, 302, 151, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
5726,81,28996,"[5726, 2863, 8590, 4295, 12886, 6443, 19330, 9665, 28996, 14498, 7249, 21748, 10874, 5437, 16312, 8156, 4078, 2039, 6118, 3059, 9178, 4589, 13768, 6884, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5727,81,86992,"[5727, 17182, 8591, 25774, 12887, 38662, 19331, 57994, 28997, 86992, 43496, 21748, 10874, 5437, 16312, 8156, 4078, 2039, 6118, 3059, 9178, 4589, 13768, 6884, 3442, 1721, 5164, 2582, 1291, 3874, 1937, 5812, 2906, 1453, 4360, 2180, 1090, 545, 1636, 818, 409, 1228, 614, 307, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5728,37,5728,"[5728, 2864, 1432, 716, 358, 179, 538, 269, 808, 404, 202, 101, 304, 152, 76, 38, 19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5729,29,21760,"[5729, 17188, 8594, 4297, 12892, 6446, 3223, 9670, 4835, 14506, 7253, 21760, 10880, 5440, 2720, 1360, 680, 340, 170, 85, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
5730,29,8596,"[5730, 2865, 8596, 4298, 2149, 6448, 3224, 1612, 806, 403, 1210, 605, 1816, 908, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
5731,29,25792,"[5731, 17194, 8597, 25792, 12896, 6448, 3224, 1612, 806, 403, 1210, 605, 1816, 908, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
5732,29,5732,"[5732, 2866, 1433, 4300, 2150, 1075, 3226, 1613, 4840, 2420, 1210, 605, 1816, 908, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
5733,29,17200,"[5733, 17200, 8600, 4300, 2150, 1075, 3226, 1613, 4840, 2420, 1210, 605, 1816, 908, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
5734,29,12904,"[5734, 2867, 8602, 4301, 12904, 6452, 3226, 1613, 4840, 2420, 1210, 605, 1816, 908, 454, 227, 682, 341, 1024, 512, 256, 128, 64, 32, 16, 8, 4, 2, 1]"
5735,174,98008,"[5735, 17206, 8603, 25810, 12905, 38716, 19358, 9679, 29038, 14519, 43558, 21779, 65338, 32669, 98008, 49004, 24502, 12251, 36754, 18377, 55132, 27566, 13783, 41350, 20675, 62026, 31013, 93040, 46520, 23260, 11630, 5815, 17446, 8723, 26170, 13085, 39256, 19628, 9814, 4907, 14722, 7361, 22084, 11042, 5521, 16564, 8282, 4141, 12424, 6212, 3106, 1553, 4660, 2330, 1165, 3496, 1748, 874, 437, 1312, 656, 328, 164, 82, 41, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593]"
5736,37,5736,"[5736, 2868, 1434, 717, 2152, 1076, 538, 269, 808, 404, 202, 101, 304, 152, 76, 38, 19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5737,112,176740,"[5737, 17212, 8606, 4303, 12910, 6455, 19366, 9683, 29050, 14525, 43576, 21788, 10894, 5447, 16342, 8171, 24514, 12257, 36772, 18386, 9193, 27580, 13790, 6895, 20686, 10343, 31030, 15515, 46546, 23273, 69820, 34910, 17455, 52366, 26183, 78550, 39275, 117826, 58913, 176740, 88370, 44185, 132556, 66278, 33139, 99418, 49709, 149128, 74564, 37282, 18641, 55924, 27962, 13981, 41944, 20972, 10486, 5243, 15730, 7865, 23596, 11798, 5899, 17698, 8849, 26548, 13274, 6637, 19912, 9956, 4978, 2489, 7468, 3734, 1867, 5602, 2801, 8404, 4202, 2101, 6304, 3152, 1576, 788, 394, 197, 592, 296, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17]"
5738,37,8608,"[5738, 2869, 8608, 4304, 2152, 1076, 538, 269, 808, 404, 202, 101, 304, 152, 76, 38, 19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5739,174,44224,"[5739, 17218, 8609, 25828, 12914, 6457, 19372, 9686, 4843, 14530, 7265, 21796, 10898, 5449, 16348, 8174, 4087, 12262, 6131, 18394, 9197, 27592, 13796, 6898, 3449, 10348, 5174, 2587, 7762, 3881, 11644, 5822, 2911, 8734, 4367, 13102, 6551, 19654, 9827, 29482, 14741, 44224, 22112, 11056, 5528, 2764, 1382, 691, 2074, 1037, 3112, 1556, 778, 389, 1168, 584, 292, 146, 73, 220, 110, 55, 166, 83, 250, 125, 376, 188, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593]"
5740,81,39364,"[5740, 2870, 1435, 4306, 2153, 6460, 3230, 1615, 4846, 2423, 7270, 3635, 10906, 5453, 16360, 8180, 4090, 2045, 6136, 3068, 1534, 767, 2302, 1151, 3454, 1727, 5182, 2591, 7774, 3887, 11662, 5831, 17494, 8747, 26242, 13121, 39364, 19682, 9841, 29524, 14762, 7381, 22144, 11072, 5536, 2768, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5741,81,39364,"[5741, 17224, 8612, 4306, 2153, 6460, 3230, 1615, 4846, 2423, 7270, 3635, 10906, 5453, 16360, 8180, 4090, 2045, 6136, 3068, 1534, 767, 2302, 1151, 3454, 1727, 5182, 2591, 7774, 3887, 11662, 5831, 17494, 8747, 26242, 13121, 39364, 19682, 9841, 29524, 14762, 7381, 22144, 11072, 5536, 2768, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5742,81,39364,"[5742, 2871, 8614, 4307, 12922, 6461, 19384, 9692, 4846, 2423, 7270, 3635, 10906, 5453, 16360, 8180, 4090, 2045, 6136, 3068, 1534, 767, 2302, 1151, 3454, 1727, 5182, 2591, 7774, 3887, 11662, 5831, 17494, 8747, 26242, 13121, 39364, 19682, 9841, 29524, 14762, 7381, 22144, 11072, 5536, 2768, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5743,81,65428,"[5743, 17230, 8615, 25846, 12923, 38770, 19385, 58156, 29078, 14539, 43618, 21809, 65428, 32714, 16357, 49072, 24536, 12268, 6134, 3067, 9202, 4601, 13804, 6902, 3451, 10354, 5177, 15532, 7766, 3883, 11650, 5825, 17476, 8738, 4369, 13108, 6554, 3277, 9832, 4916, 2458, 1229, 3688, 1844, 922, 461, 1384, 692, 346, 173, 520, 260, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5744,55,9232,"[5744, 2872, 1436, 718, 359, 1078, 539, 1618, 809, 2428, 1214, 607, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5745,37,17236,"[5745, 17236, 8618, 4309, 12928, 6464, 3232, 1616, 808, 404, 202, 101, 304, 152, 76, 38, 19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5746,174,1276936,"[5746, 2873, 8620, 4310, 2155, 6466, 3233, 9700, 4850, 2425, 7276, 3638, 1819, 5458, 2729, 8188, 4094, 2047, 6142, 3071, 9214, 4607, 13822, 6911, 20734, 10367, 31102, 15551, 46654, 23327, 69982, 34991, 104974, 52487, 157462, 78731, 236194, 118097, 354292, 177146, 88573, 265720, 132860, 66430, 33215, 99646, 49823, 149470, 74735, 224206, 112103, 336310, 168155, 504466, 252233, 756700, 378350, 189175, 567526, 283763, 851290, 425645, 1276936, 638468, 319234, 159617, 478852, 239426, 119713, 359140, 179570, 89785, 269356, 134678, 67339, 202018, 101009, 303028, 151514, 75757, 227272, 113636, 56818, 28409, 85228, 42614, 21307, 63922, 31961, 95884, 47942, 23971, 71914, 35957, 107872, 53936, 26968, 13484, 6742, 3371]"
5747,174,1276936,"[5747, 17242, 8621, 25864, 12932, 6466, 3233, 9700, 4850, 2425, 7276, 3638, 1819, 5458, 2729, 8188, 4094, 2047, 6142, 3071, 9214, 4607, 13822, 6911, 20734, 10367, 31102, 15551, 46654, 23327, 69982, 34991, 104974, 52487, 157462, 78731, 236194, 118097, 354292, 177146, 88573, 265720, 132860, 66430, 33215, 99646, 49823, 149470, 74735, 224206, 112103, 336310, 168155, 504466, 252233, 756700, 378350, 189175, 567526, 283763, 851290, 425645, 1276936, 638468, 319234, 159617, 478852, 239426, 119713, 359140, 179570, 89785, 269356, 134678, 67339, 202018, 101009, 303028, 151514, 75757, 227272, 113636, 56818, 28409, 85228, 42614, 21307, 63922, 31961, 95884, 47942, 23971, 71914, 35957, 107872, 53936, 26968, 13484, 6742, 3371]"
5748,55,9232,"[5748, 2874, 1437, 4312, 2156, 1078, 539, 1618, 809, 2428, 1214, 607, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5749,55,17248,"[5749, 17248, 8624, 4312, 2156, 1078, 539, 1618, 809, 2428, 1214, 607, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5750,55,14560,"[5750, 2875, 8626, 4313, 12940, 6470, 3235, 9706, 4853, 14560, 7280, 3640, 1820, 910, 455, 1366, 683, 2050, 1025, 3076, 1538, 769, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5751,55,38824,"[5751, 17254, 8627, 25882, 12941, 38824, 19412, 9706, 4853, 14560, 7280, 3640, 1820, 910, 455, 1366, 683, 2050, 1025, 3076, 1538, 769, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5752,55,9232,"[5752, 2876, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5753,130,32776,"[5753, 17260, 8630, 4315, 12946, 6473, 19420, 9710, 4855, 14566, 7283, 21850, 10925, 32776, 16388, 8194, 4097, 12292, 6146, 3073, 9220, 4610, 2305, 6916, 3458, 1729, 5188, 2594, 1297, 3892, 1946, 973, 2920, 1460, 730, 365, 1096, 548, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577]"
5754,55,9232,"[5754, 2877, 8632, 4316, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5755,55,29140,"[5755, 17266, 8633, 25900, 12950, 6475, 19426, 9713, 29140, 14570, 7285, 21856, 10928, 5464, 2732, 1366, 683, 2050, 1025, 3076, 1538, 769, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5756,130,41524,"[5756, 2878, 1439, 4318, 2159, 6478, 3239, 9718, 4859, 14578, 7289, 21868, 10934, 5467, 16402, 8201, 24604, 12302, 6151, 18454, 9227, 27682, 13841, 41524, 20762, 10381, 31144, 15572, 7786, 3893, 11680, 5840, 2920, 1460, 730, 365, 1096, 548, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577]"
5757,130,41524,"[5757, 17272, 8636, 4318, 2159, 6478, 3239, 9718, 4859, 14578, 7289, 21868, 10934, 5467, 16402, 8201, 24604, 12302, 6151, 18454, 9227, 27682, 13841, 41524, 20762, 10381, 31144, 15572, 7786, 3893, 11680, 5840, 2920, 1460, 730, 365, 1096, 548, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577]"
5758,130,65608,"[5758, 2879, 8638, 4319, 12958, 6479, 19438, 9719, 29158, 14579, 43738, 21869, 65608, 32804, 16402, 8201, 24604, 12302, 6151, 18454, 9227, 27682, 13841, 41524, 20762, 10381, 31144, 15572, 7786, 3893, 11680, 5840, 2920, 1460, 730, 365, 1096, 548, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577]"
5759,112,897856,"[5759, 17278, 8639, 25918, 12959, 38878, 19439, 58318, 29159, 87478, 43739, 131218, 65609, 196828, 98414, 49207, 147622, 73811, 221434, 110717, 332152, 166076, 83038, 41519, 124558, 62279, 186838, 93419, 280258, 140129, 420388, 210194, 105097, 315292, 157646, 78823, 236470, 118235, 354706, 177353, 532060, 266030, 133015, 399046, 199523, 598570, 299285, 897856, 448928, 224464, 112232, 56116, 28058, 14029, 42088, 21044, 10522, 5261, 15784, 7892, 3946, 1973, 5920, 2960, 1480, 740, 370, 185, 556, 278, 139, 418, 209, 628, 314, 157, 472, 236, 118, 59, 178, 89, 268, 134, 67, 202, 101, 304, 152, 76, 38, 19, 58, 29, 88, 44, 22, 11, 34, 17]"
5760,24,5760,"[5760, 2880, 1440, 720, 360, 180, 90, 45, 136, 68, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5761,174,83104,"[5761, 17284, 8642, 4321, 12964, 6482, 3241, 9724, 4862, 2431, 7294, 3647, 10942, 5471, 16414, 8207, 24622, 12311, 36934, 18467, 55402, 27701, 83104, 41552, 20776, 10388, 5194, 2597, 7792, 3896, 1948, 974, 487, 1462, 731, 2194, 1097, 3292, 1646, 823, 2470, 1235, 3706, 1853, 5560, 2780, 1390, 695, 2086, 1043, 3130, 1565, 4696, 2348, 1174, 587, 1762, 881, 2644, 1322, 661, 1984, 992, 496, 248, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593]"
5762,37,8644,"[5762, 2881, 8644, 4322, 2161, 6484, 3242, 1621, 4864, 2432, 1216, 608, 304, 152, 76, 38, 19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5763,37,25936,"[5763, 17290, 8645, 25936, 12968, 6484, 3242, 1621, 4864, 2432, 1216, 608, 304, 152, 76, 38, 19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5764,143,9232,"[5764, 2882, 1441, 4324, 2162, 1081, 3244, 1622, 811, 2434, 1217, 3652, 1826, 913, 2740, 1370, 685, 2056, 1028, 514, 257, 772, 386, 193, 580, 290, 145, 436, 218, 109, 328, 164, 82, 41, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644]"
5765,143,17296,"[5765, 17296, 8648, 4324, 2162, 1081, 3244, 1622, 811, 2434, 1217, 3652, 1826, 913, 2740, 1370, 685, 2056, 1028, 514, 257, 772, 386, 193, 580, 290, 145, 436, 218, 109, 328, 164, 82, 41, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644]"
5766,143,12976,"[5766, 2883, 8650, 4325, 12976, 6488, 3244, 1622, 811, 2434, 1217, 3652, 1826, 913, 2740, 1370, 685, 2056, 1028, 514, 257, 772, 386, 193, 580, 290, 145, 436, 218, 109, 328, 164, 82, 41, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644]"
5767,55,38932,"[5767, 17302, 8651, 25954, 12977, 38932, 19466, 9733, 29200, 14600, 7300, 3650, 1825, 5476, 2738, 1369, 4108, 2054, 1027, 3082, 1541, 4624, 2312, 1156, 578, 289, 868, 434, 217, 652, 326, 163, 490, 245, 736, 368, 184, 92, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5768,50,5768,"[5768, 2884, 1442, 721, 2164, 1082, 541, 1624, 812, 406, 203, 610, 305, 916, 458, 229, 688, 344, 172, 86, 43, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5769,174,49300,"[5769, 17308, 8654, 4327, 12982, 6491, 19474, 9737, 29212, 14606, 7303, 21910, 10955, 32866, 16433, 49300, 24650, 12325, 36976, 18488, 9244, 4622, 2311, 6934, 3467, 10402, 5201, 15604, 7802, 3901, 11704, 5852, 2926, 1463, 4390, 2195, 6586, 3293, 9880, 4940, 2470, 1235, 3706, 1853, 5560, 2780, 1390, 695, 2086, 1043, 3130, 1565, 4696, 2348, 1174, 587, 1762, 881, 2644, 1322, 661, 1984, 992, 496, 248, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593]"
5770,50,8656,"[5770, 2885, 8656, 4328, 2164, 1082, 541, 1624, 812, 406, 203, 610, 305, 916, 458, 229, 688, 344, 172, 86, 43, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5771,143,25972,"[5771, 17314, 8657, 25972, 12986, 6493, 19480, 9740, 4870, 2435, 7306, 3653, 10960, 5480, 2740, 1370, 685, 2056, 1028, 514, 257, 772, 386, 193, 580, 290, 145, 436, 218, 109, 328, 164, 82, 41, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644]"
5772,50,6496,"[5772, 2886, 1443, 4330, 2165, 6496, 3248, 1624, 812, 406, 203, 610, 305, 916, 458, 229, 688, 344, 172, 86, 43, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5773,50,17320,"[5773, 17320, 8660, 4330, 2165, 6496, 3248, 1624, 812, 406, 203, 610, 305, 916, 458, 229, 688, 344, 172, 86, 43, 130, 65, 196, 98, 49, 148, 74, 37, 112, 56, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
5774,130,24676,"[5774, 2887, 8662, 4331, 12994, 6497, 19492, 9746, 4873, 14620, 7310, 3655, 10966, 5483, 16450, 8225, 24676, 12338, 6169, 18508, 9254, 4627, 13882, 6941, 20824, 10412, 5206, 2603, 7810, 3905, 11716, 5858, 2929, 8788, 4394, 2197, 6592, 3296, 1648, 824, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577]"
5775,130,58480,"[5775, 17326, 8663, 25990, 12995, 38986, 19493, 58480, 29240, 14620, 7310, 3655, 10966, 5483, 16450, 8225, 24676, 12338, 6169, 18508, 9254, 4627, 13882, 6941, 20824, 10412, 5206, 2603, 7810, 3905, 11716, 5858, 2929, 8788, 4394, 2197, 6592, 3296, 1648, 824, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577]"
