SampleCol,R1p,R2p,R3p,MouseID,Genotype,Gender,Zygosity
KOMP_356475,44.00379238669453,45.99865047387311,9.99755713943234,356475,Mmachc,Female,Hetero
KOMP_356477,28.732900036974364,56.69064153178643,14.576458431239207,356477,Mmachc,Female,Hetero
KOMP_243278,23.788522961745727,59.897774364198185,16.313702674056067,243278,Ywhaz,Male,Hetero
KOMP_243279,7.8921511337968475,79.54589731715011,12.561951549053047,243279,Ywhaz,Male,Hetero
KOMP_253688,13.464412443859278,68.99183342346285,17.543754132677872,253688,Ywhaz,Male,Hetero
KOMP_243382,30.381244483080167,25.422215453209983,44.19654006370985,243382,Ywhaz,Female,Hetero
KOMP_253789,27.752393452339284,25.8600642247266,46.38754232293413,253789,Ywhaz,Female,Hetero
KOMP_253791,27.25147233796771,46.770685579165026,25.97784208286727,253791,Ywhaz,Female,Hetero
KOMP_38276,39.566363906753544,41.55741651283098,18.876219580415466,38276,Gnpda1,Male,Hetero
KOMP_40681,35.37027232541788,33.84240184073478,30.78732583384734,40681,Gnpda1,Male,Hetero
KOMP_40683,14.013148119516995,27.59047785109147,58.39637402939153,40683,Gnpda1,Male,Hetero
KOMP_38379,20.711756528051797,56.34658370924958,22.941659762698627,38379,Gnpda1,Female,Hetero
KOMP_40790,35.16735943770862,35.77562957122418,29.0570109910672,40790,Gnpda1,Female,Hetero
KOMP_40793,34.20129212651581,35.32446082893566,30.47424704454853,40793,Gnpda1,Female,Hetero
KOMP_72465,42.75326100555542,29.521216398539273,27.725522595905304,72465,Lmbrd1,Male,Hetero
KOMP_85374,48.97340200531655,21.124794105271615,29.90180388941183,85374,Lmbrd1,Male,Hetero
KOMP_85376,31.06588949542009,28.9920135063995,39.9420969981804,85376,Lmbrd1,Male,Hetero
KOMP_111495,34.21744108391997,42.730258054570456,23.052300861509565,111495,Lmbrd1,Female,Hetero
KOMP_118598,47.19269970239114,25.908638456570586,26.898661841038283,118598,Lmbrd1,Female,Hetero
KOMP_118599,41.93169161552846,31.897093678289863,26.171214706181665,118599,Lmbrd1,Female,Hetero
KOMP_302576,37.27309128566682,42.82176810070145,19.90514061363172,302576,Pmm2,Male,Hetero
KOMP_302577,21.24973897298863,51.4755590091473,27.274702017864065,302577,Pmm2,Male,Hetero
KOMP_303981,43.464966886435754,29.730853280020863,26.80417983354338,303981,Pmm2,Male,Hetero
KOMP_294366,39.54583567902073,17.491469558778743,42.96269476220052,294366,Pmm2,Female,Hetero
KOMP_296769,37.46968693545934,24.78301894463452,37.747294119906144,296769,Pmm2,Female,Hetero
KOMP_296770,46.542835241486294,9.02126445420159,44.435900304312106,296770,Pmm2,Female,Hetero
KOMP_206923,36.225747548108366,21.831084445649303,41.943168006242324,206923,Cdk4,Male,Hetero
KOMP_206925,33.45186782265311,32.49951943216001,34.04861274518687,206925,Cdk4,Male,Hetero
KOMP_209532,22.628126888561297,50.58538457759252,26.786488533846185,209532,Cdk4,Male,Hetero
KOMP_206819,33.28355755938414,17.676332824925186,49.04010961569068,206819,Cdk4,Female,Hetero
KOMP_217741,41.37625504799341,14.668287146640155,43.95545780536642,217741,Cdk4,Female,Hetero
KOMP_217742,24.56216413973938,41.598276386386026,33.83955947387459,217742,Cdk4,Female,Hetero
KOMP_230187,17.00047849236484,32.95309444588689,50.046427061748275,230187,Rock1,Male,Hetero
KOMP_230188,23.304227490173197,32.40544183482988,44.290330674996916,230188,Rock1,Male,Hetero
KOMP_244901,47.54716383239687,14.33573505704831,38.11710111055483,244901,Rock1,Male,Hetero
KOMP_230295,31.997527678300802,35.144103505731785,32.85836881596741,230295,Rock1,Female,Hetero
KOMP_253313,32.84873522113633,47.38477939456004,19.76648538430362,253313,Rock1,Female,Hetero
KOMP_253314,34.712437050569676,19.203991209373115,46.083571740057195,253314,Rock1,Female,Hetero
KOMP_296500,42.04420659733392,10.034389289246056,47.921404113420024,296500,Atp6v0d1,Male,Hetero
KOMP_296501,38.089419113882236,37.58883714669587,24.32174373942189,296501,Atp6v0d1,Male,Hetero
KOMP_296503,27.10666466966241,44.35542086216914,28.537914468168456,296503,Atp6v0d1,Male,Hetero
KOMP_254467,37.510052497555904,15.811724977317812,46.67822252512628,254467,Atp6v0d1,Female,Hetero
KOMP_254468,26.741871031691133,34.44379868816,38.81433028014886,254468,Atp6v0d1,Female,Hetero
KOMP_254470,46.05669896188807,17.718725870563514,36.22457516754841,254470,Atp6v0d1,Female,Hetero
KOMP_424983,40.62351346970004,22.913510199029787,36.46297633127018,424983,Dync1li1,Male,Hetero
KOMP_424984,30.70793144282502,23.43607381815571,45.85599473901927,424984,Dync1li1,Male,Hetero
KOMP_427987,23.741114820597133,51.38200079616456,24.876884383238316,427987,Dync1li1,Male,Hetero
KOMP_428092,31.227852762886034,37.096855732393806,31.67529150472016,428092,Dync1li1,Female,Hetero
KOMP_447115,26.756911422708136,52.32444352338306,20.91864505390881,447115,Dync1li1,Female,Hetero
KOMP_447116,42.549842080051725,21.425555387939518,36.02460253200877,447116,Dync1li1,Female,Hetero
KOMP_215489,26.56106856077859,38.49165987062778,34.94727156859365,215489,Plk1,Male,Hetero
KOMP_215490,32.86041443166488,38.57624148066731,28.563344087667815,215490,Plk1,Male,Hetero
KOMP_215491,18.46388426571663,58.053079684463846,23.483036049819525,215491,Plk1,Male,Hetero
KOMP_221098,40.811653152167615,35.43597273207417,23.75237411575822,221098,Plk1,Female,Hetero
KOMP_230007,43.90586752826817,26.432903116702526,29.661229355029306,230007,Plk1,Female,Hetero
KOMP_230010,37.908928748784305,17.785774889446913,44.305296361768775,230010,Plk1,Female,Hetero
KOMP_345319,26.39023425867915,35.11896470103405,38.4908010402868,345319,Mvk,Male,Hetero
KOMP_345321,22.678996471079063,43.93257094066574,33.38843258825519,345321,Mvk,Male,Hetero
KOMP_345323,26.7641517740618,41.780012961191595,31.45583526474661,345323,Mvk,Male,Hetero
KOMP_328195,21.46871160126729,24.835328258994064,53.69596013973864,328195,Mvk,Female,Hetero
KOMP_328199,30.88815928937207,24.783573372174903,44.328267338453024,328199,Mvk,Female,Hetero
KOMP_349944,23.621462237472976,37.79871864989401,38.579819112633004,349944,Mvk,Female,Hetero
KOMP_237811,34.886400704277634,16.839877765849494,48.27372152987287,237811,Ptpn12,Male,Hetero
KOMP_237812,15.960667293933778,67.96888280390466,16.070449902161563,237812,Ptpn12,Male,Hetero
KOMP_206458,29.003140184821746,25.74880547378863,45.24805434138964,206458,Ptpn12,Male,Hetero
KOMP_248921,25.101982337269863,35.829809750044575,39.068207912685565,248921,Ptpn12,Female,Hetero
KOMP_249730,49.44783904188696,10.882631037550894,39.669529920562155,249730,Ptpn12,Female,Hetero
KOMP_249731,31.426636839832778,50.17169496224071,18.401668197926504,249731,Ptpn12,Female,Hetero
KOMP_34419,42.882543682288194,30.85657926309791,26.2608770546139,34419,Null,Male,Homo+
KOMP_38434,34.904237583399485,23.215642201395703,41.880120215204805,38434,Null,Male,Homo+
KOMP_38538,29.35698601644,56.830573164906376,13.812440818653627,38538,Null,Female,Homo+
KOMP_38541,6.810030332642465,87.91478613641682,5.275183530940715,38541,Null,Female,Homo+
KOMP_69395,18.716876143451692,57.95299200449686,23.33013185205145,69395,Null,Male,Homo+
KOMP_91834,30.72692456031694,20.929119468654804,48.343955971028265,91834,Null,Male,Homo+
KOMP_115757,36.07313904579922,21.095203709361314,42.83165724483947,115757,Null,Male,Homo+
KOMP_115864,25.220229304619384,45.605541379877884,29.174229315502725,115864,Null,Female,Homo+
KOMP_55857,32.62591291830362,8.755255732385345,58.61883134931103,55857,Null,Female,Homo+
KOMP_69499,46.262013219569496,23.910735671550952,29.827251108879555,69499,Null,Female,Homo+
KOMP_144610,31.46960135888059,29.80140379468848,38.72899484643092,144610,Null,Male,Homo+
KOMP_187595,14.699275905879666,70.9825700652294,14.318154028890948,187595,Null,Male,Homo+
KOMP_198313,28.911169994332557,28.467042448865065,42.621787556802374,198313,Null,Male,Homo+
KOMP_144713,18.047002653322448,69.98998564118195,11.963011705495614,144713,Null,Female,Homo+
KOMP_170956,37.53195665340151,45.508910143725714,16.95913320287276,170956,Null,Female,Homo+
KOMP_198416,33.68767754351477,14.573031116671379,51.73929133981384,198416,Null,Female,Homo+
KOMP_209137,24.29255239794491,41.983521907141345,33.72392569491374,209137,Null,Male,Homo+
KOMP_229587,16.56200241043461,64.13144279758279,19.306554791982602,229587,Null,Male,Homo+
KOMP_237610,41.78457210146165,13.8739957062644,44.341432192273956,237610,Null,Male,Homo+
KOMP_257540,38.54619941356552,14.586546245144879,46.8672543412896,257540,Null,Male,Homo+
KOMP_281970,44.02148417859926,28.742688893326495,27.235826928074246,281970,Null,Male,Homo+
KOMP_209241,41.010452291104635,37.11004804576406,21.879499663131302,209241,Null,Female,Homo+
KOMP_220170,24.346184382361084,38.400629735071405,37.25318588256751,220170,Null,Female,Homo+
KOMP_229695,37.3071693827956,40.72825422290363,21.964576394300767,229695,Null,Female,Homo+
KOMP_237716,44.69868635881992,19.53156110886727,35.7697525323128,237716,Null,Female,Homo+
KOMP_257643,25.955281943811475,28.654078837306525,45.390639218881994,257643,Null,Female,Homo+
KOMP_307710,17.463906982333015,62.56872016997326,19.967372847693717,307710,Null,Male,Homo+
KOMP_348926,24.607238027653427,58.462787781519275,16.929974190827295,348926,Null,Male,Homo+
KOMP_365959,42.93437491780656,37.04974300460167,20.015882077591783,365959,Null,Male,Homo+
KOMP_296904,35.37259481386734,31.146068269448485,33.48133691668417,296904,Null,Female,Homo+
KOMP_319741,15.862979387162913,40.144661598569186,43.992359014267905,319741,Null,Female,Homo+
KOMP_349029,29.41263433818509,15.883294317713247,54.70407134410167,349029,Null,Female,Homo+
KOMP_410683,32.41307340608407,11.66509359830283,55.921832995613094,410683,Null,Male,Homo+
KOMP_441144,30.154207026314445,29.30610852912262,40.53968444456294,441144,Null,Male,Homo+
KOMP_483044,31.15230545540949,26.89197999080016,41.95571455379035,483044,Null,Male,Homo+
KOMP_417795,27.905194461421473,4.488797538942939,67.60600799963558,417795,Null,Female,Homo+
KOMP_432639,44.156805470617414,21.912516911314277,33.930677618068316,432639,Null,Female,Homo+
KOMP_448374,31.15795233674803,9.673225951168298,59.16882171208368,448374,Null,Female,Homo+
KOMP_510073,33.52063831710296,8.487992794164583,57.99136888873245,510073,Null,Male,Homo+
KOMP_496096,32.24007019451617,41.19918828569804,26.560741519785786,496096,Null,Female,Homo+
